FECHA|CASOS|MUERTES|COUNTRY
01/02/2020|2|0|Australia
02/02/2020|2|0|Australia
03/02/2020|0|0|Australia
04/02/2020|0|0|Australia
05/02/2020|1|0|Australia
06/02/2020|1|0|Australia
07/02/2020|1|0|Australia
08/02/2020|0|0|Australia
09/02/2020|0|0|Australia
10/02/2020|0|0|Australia
11/02/2020|0|0|Australia
12/02/2020|0|0|Australia
13/02/2020|0|0|Australia
14/02/2020|1|0|Australia
15/02/2020|0|0|Australia
16/02/2020|0|0|Australia
17/02/2020|0|0|Australia
18/02/2020|0|0|Australia
19/02/2020|0|0|Australia
20/02/2020|0|0|Australia
21/02/2020|2|0|Australia
22/02/2020|4|0|Australia
23/02/2020|1|0|Australia
24/02/2020|0|0|Australia
25/02/2020|0|0|Australia
26/02/2020|0|0|Australia
27/02/2020|1|0|Australia
28/02/2020|0|0|Australia
29/02/2020|2|0|Australia
01/03/2020|1|1|Australia
02/03/2020|3|0|Australia
03/03/2020|4|0|Australia
04/03/2020|8|0|Australia
05/03/2020|11|1|Australia
06/03/2020|7|0|Australia
07/03/2020|4|0|Australia
08/03/2020|11|1|Australia
09/03/2020|6|0|Australia
10/03/2020|20|0|Australia
11/03/2020|12|0|Australia
12/03/2020|14|0|Australia
13/03/2020|30|0|Australia
14/03/2020|41|0|Australia
15/03/2020|52|0|Australia
16/03/2020|49|2|Australia
17/03/2020|77|0|Australia
18/03/2020|79|0|Australia
19/03/2020|111|1|Australia
20/03/2020|144|0|Australia
21/03/2020|165|1|Australia
22/03/2020|224|0|Australia
23/03/2020|611|0|Australia
24/03/2020|114|0|Australia
25/03/2020|600|1|Australia
26/03/2020|376|3|Australia
27/03/2020|367|2|Australia
28/03/2020|212|0|Australia
29/03/2020|431|1|Australia
30/03/2020|284|2|Australia
31/03/2020|464|3|Australia
01/04/2020|150|1|Australia
02/04/2020|269|1|Australia
03/04/2020|248|2|Australia
04/04/2020|324|7|Australia
05/04/2020|139|4|Australia
06/04/2020|57|2|Australia
07/04/2020|100|6|Australia
08/04/2020|112|3|Australia
09/04/2020|96|5|Australia
10/04/2020|100|2|Australia
11/04/2020|86|2|Australia
12/04/2020|51|3|Australia
13/04/2020|33|4|Australia
14/04/2020|44|0|Australia
26/02/2020|2|0|Austria
27/02/2020|0|0|Austria
28/02/2020|3|0|Austria
29/02/2020|2|0|Austria
01/03/2020|3|0|Austria
02/03/2020|4|0|Austria
03/03/2020|4|0|Austria
04/03/2020|6|0|Austria
05/03/2020|5|0|Austria
06/03/2020|12|0|Austria
07/03/2020|33|0|Austria
08/03/2020|25|0|Austria
09/03/2020|3|0|Austria
10/03/2020|29|0|Austria
11/03/2020|51|0|Austria
12/03/2020|64|0|Austria
13/03/2020|115|1|Austria
14/03/2020|143|0|Austria
15/03/2020|151|0|Austria
16/03/2020|205|0|Austria
17/03/2020|156|2|Austria
18/03/2020|316|0|Austria
19/03/2020|314|1|Austria
20/03/2020|550|2|Austria
21/03/2020|453|0|Austria
22/03/2020|375|2|Austria
23/03/2020|607|8|Austria
24/03/2020|855|9|Austria
25/03/2020|796|5|Austria
26/03/2020|606|4|Austria
27/03/2020|1141|18|Austria
28/03/2020|668|16|Austria
29/03/2020|594|0|Austria
30/03/2020|522|18|Austria
31/03/2020|805|22|Austria
01/04/2020|564|20|Austria
02/04/2020|529|18|Austria
03/04/2020|418|12|Austria
04/04/2020|396|10|Austria
05/04/2020|241|18|Austria
06/04/2020|217|18|Austria
07/04/2020|314|16|Austria
08/04/2020|343|23|Austria
09/04/2020|329|30|Austria
10/04/2020|279|22|Austria
11/04/2020|312|24|Austria
12/04/2020|247|18|Austria
13/04/2020|130|13|Austria
14/04/2020|106|18|Austria
29/02/2020|1|0|Azerbaijan
01/03/2020|0|0|Azerbaijan
02/03/2020|2|0|Azerbaijan
06/03/2020|3|0|Azerbaijan
07/03/2020|3|0|Azerbaijan
11/03/2020|2|0|Azerbaijan
12/03/2020|2|0|Azerbaijan
13/03/2020|0|0|Azerbaijan
15/03/2020|6|0|Azerbaijan
16/03/2020|0|0|Azerbaijan
17/03/2020|0|0|Azerbaijan
18/03/2020|9|0|Azerbaijan
19/03/2020|6|0|Azerbaijan
20/03/2020|10|0|Azerbaijan
21/03/2020|0|1|Azerbaijan
22/03/2020|9|0|Azerbaijan
23/03/2020|12|0|Azerbaijan
24/03/2020|7|0|Azerbaijan
25/03/2020|15|0|Azerbaijan
26/03/2020|6|1|Azerbaijan
27/03/2020|29|1|Azerbaijan
28/03/2020|43|0|Azerbaijan
29/03/2020|17|1|Azerbaijan
30/03/2020|27|0|Azerbaijan
31/03/2020|64|0|Azerbaijan
01/04/2020|25|1|Azerbaijan
02/04/2020|61|0|Azerbaijan
03/04/2020|41|0|Azerbaijan
04/04/2020|43|0|Azerbaijan
05/04/2020|78|0|Azerbaijan
06/04/2020|63|2|Azerbaijan
07/04/2020|57|0|Azerbaijan
08/04/2020|76|1|Azerbaijan
09/04/2020|105|0|Azerbaijan
10/04/2020|104|1|Azerbaijan
